author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
Alonzo Church	Baruch Germansky. (Supplement to my paper “Axioms of the natural numbers”). (Riveon lematematika), vol. 3 (1949), p. 8.	1950	15	4	282-282	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
C. D. Firestone	R. Shukla. A system for general set theory. The journal of the Indian Mathematical Society, n. s. vol. 12 (1948), pp. 121–124.	1950	15	4	282-283	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
B. Germànsky	Yehoshua Bar-Hillel. (The present state of the problem of the antinomies. The semantical antinomies.) (Tarbits), vol. 12 (1940/1941), pp. 275–286.	1950	15	4	282-282	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
	Further Citations	1950	15	4	283	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
Wilhelm Ackermann	J. Richard Büchi. Die Boole'sche Partialordnung und die Paarung von Gefuegen. Portugaliae mathematica, Bd. 7 Hefte 3–4 (für 1948, erschienen 1949), S. 119–180.	1950	15	4	283-283	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernst Specker	Pascual Jordan. Zur Quanten-Logik. Archiv der Mathematik (Karlsruhe), Bd. 2 (1949–1950), S. 166–171.	1950	15	4	283-283	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1950	15	4	283-285	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	List of officers and members of the Association for Symbolic Logic	1950	15	4	286-291	association record	editorial/association apparatus				metadata only; full text not reached
	Index of reviews by subjects	1950	15	4	292-312	review index	editorial/association apparatus				metadata only; full text not reached
Robert McNaughton	A theorem about infinite-valued sentential logic	1951	16	1	1-13	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
	JSL volume 16 issue 1 Cover and Back matter	1951	16	1	b1-b2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 16 issue 1 Cover and Front matter	1951	16	1	f1-f2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Alfred Horn	On sentences which are true of direct unions of algebras	1951	16	1	14-21	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
J. B. Rosser; A. R. Turquette	Axiom schemes for m-valued functional calculi of first order. Part II	1951	16	1	22-34	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
John Myhill	Report on some investigations concerning the consistency of the axiom of reducibility	1951	16	1	35-42	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Maurice L'abbé	On the independence of Henkin's axioms for fragments of the propositional calculus	1951	16	1	43-45	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
George L. Kline	S. A. Ánovskaá. Osnovaniá matématiki i matématičéskaá logika (Foundations of mathematics and mathematical logic). Matématika v SSSR za tridcat′ lét 1917–1947 (Mathematics in the USSR for the thirty years 1917–1947), OGIZ, Moscow and Leningrad1948, pp. 9–50.	1951	16	1	46-48	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
John G. Kemeny	Hans Reichenbach. The theory of probability. An inquiry into the logical and mathematical foundations of the calculus of probability. English translation by Ernest H. Hutten and Maria Reichenbach. University of California Press, Berkeley and Los Angeles1949, xvi + 492 pp.	1951	16	1	48-51	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	G. Udny Yule and M. G. Kendall. An introduction to the theory of statistics. Fourteenth edition, revised and enlarged. Charles Griffin & Company, London1950, xxiv + 701 pp.	1951	16	1	51-51	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
H. E. Vaughan	R. B. Kershner and L. R. Wilcox. The anatomy of mathematics. The Ronald Press Company, New York1950, xi + 416 pp.	1951	16	1	51-52	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
G. Zubieta R.	D. Hilbert and W. Ackermann. Principles of mathematical logic. English translation of III 83(2) by Lewis M. Hammond, George G. Leckie, and F. Steinhardt. Edited and with notes by Robert E. Luce. Chelsea Publishing Company, New York1950, xii + 172 pp.	1951	16	1	52-53	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Ernest H. Hutten	Gerrit Mannoury. Les fondements psycho-linguistiques des mathématiques. French translation of 1164 by L. Roelandt and M. A. Preissmann. Bibliothèque scientifique No. 7. Éditions du Griffon, Neuchatel1947, 63 pp. - D. van Dantzig. Signifies, and its relations to semiotics. Library of the Tenth International Congress of Philosophy, Vol. II, Philosophical essays, Amsterdam1949, pp. 176–189.	1951	16	1	53-55	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Leon Henkin	Heinrich Scholz. Zur Erhellung des Verstehens. Geistige Gestalten und Probleme, Eduard Spranger zum 60. Geburstag (27. Juni 1942), edited by Hans Wenke, Quelle & Meyer, Leipzig1942, pp. 291–310.	1951	16	1	53-53	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Max Bense. Einleitung in die Philosophie. Eine Einübung des Geistes. (Collection Einheit des Wissens, edited by M. Bense.) Ed. R. Oldenbourg, Munich and Berlin1941, 191 pp.	1951	16	1	55-55	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	R. Feys. De ontwikkeling van het logisch denken (The development of logical thought). Prepared for publication by A. Borgers. Philosophische bibliotheek. Standaard-Boekhandel, Antwerp; Dekker & van de Vegt, Nijmegen; 1949, 220 pp.	1951	16	1	55-56	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Wilhelm Ackermann	Haskell B. Curry. A theory of formal deducibility. Notre Dame mathematical lectures, no. 6. Lithoprinted. University of Notre Dame, Notre Dame, Indiana, 1950, ix + 126 Seiten.	1951	16	1	56-58	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Johannes Bendiek	Henry Veatch. In defense of the syllogism. The modern Schoolman, Bd. 27 (1950), S. 184–202.	1951	16	1	58-58	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Henry Hiż	Jerzy Łoś. Podstawy analizy metodologicznej kanonów Milla (Foundations of the methodological analysis of Mill's canons). Annates Universitatis Mariae Curie-Shlodowska, Sectio F, vol. 2 (for 1947, pub. 1948), pp. 269–301.	1951	16	1	58-59	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Jan Kalicki	Jerzt Łoś. O matrycach logicznych (On logical matrices). Prace Wrocławskiego Towarzystwa Naukowego, series B, no. 19. Wrocław1949, 42 pp.	1951	16	1	59-61	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Oystein Ore	Jacques Riguet. Quelques propriétés des relations difonctionnelles. Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris), vol. 230 (1950), pp. 1999–2000.	1951	16	1	61-61	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Oystein Ore	Jacques Riguet. Relations binaires, fermetures, correspondences de Galois. Bulletin de la Société Mathématique de France, vol. 76 (1948), pp. 114–155.	1951	16	1	61-61	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	A. Archer. A Venn diagram analogue computer. Nature, vol. 166 (1950), p. 829.	1951	16	1	62-62	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	F. L. Bauer. Zur Algebraik des Logikkalküls. Methodos, vol. 1 (1949), pp. 288–292.	1951	16	1	62-62	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
H. E. Vaughan	Ladislav Rieger. A note on topological representations of distributive lattices (Poznámka o topologických representacích distributivních svazů). Časopis pro péstování matematiky a fysiky, vol. 74 (1949), pp. 55–61. - Kiyoski Iseki. Une condition pour qu'un lattice soit distributif. Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris), vol. 230 (1950), pp. 1726–1727.	1951	16	1	62-62	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
G. H. von Wright	Th. Skolem. De logiske paradokser og botemidlene mot dem (The logical paradoxes and the remedies for them). Norsk matematisk tidsskrift, vol. 32 (1950), pp. 2–11.	1951	16	1	62-62	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	C. H. Langford. The institutional use of the. Philosophy and phenomenological research, vol. 10 no. 1 (1949), pp. 115–120.	1951	16	1	63-63	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Elizabeth Lane Beardsley. “Non-accidental” and counlerfactual sentences. The journal of philosophy, vol. 46 (1949), pp. 573–591.	1951	16	1	63-64	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	Ugo Cassina. Le dimostrazioni in matematica. Annali di matematica pura ed applicata, ser. 4 vol. 29 (1949), pp. 131–146.	1951	16	1	63-63	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	R. M. Martin. On virtual classes and real numbers. The journal of symbolic logic, vol. 15 (1950), pp. 131–134.	1951	16	1	64-64	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	William Kneale. Natural laws and contrary-to-fact conditionals. Analysis (Oxford), vol. 10 no. 6 (1950), pp. 121–125.	1951	16	1	64-64	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Jan Kalicki. A test for the existence of tautologies according to many-valued truth-tables. The journal of symbolic logic, vol. 15 (1950), pp. 182–184.	1951	16	1	65-65	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Jan Kalicki. Note on truth-tables. The journal of symbolic logic, vol. 15 (1950), pp. 174–181. See Errata, ibid., p. iv.	1951	16	1	65-65	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	John R. Myhill. A complete theory of natural, rational, and real numbers. The journal of symbolic logic, vol. 15 (1950), pp. 185–196. See Errata, ibid., p. iv.	1951	16	1	65-67	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Mieczysław Choynowski	D. Rynin. Remarks on M. Schlick's essay “Positivism and realism.”Synthese, vol. 7 (1948–1949), pp. 466–477. - M. Schlick. Positivism and realism. Translated by David Rynin. Synthese, vol. 7 (1948–1949), pp. 478–505. - Morris Lazerowitz. Are self-contradictory expressions meaningless?The philosophical review, vol. 58 (1949), pp. 563–584.	1951	16	1	67-69	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Gottlob Frege, The foundations of arithmetic. A logico-mathematical enquiry into the concept of number. German with English translation by J. L. Austin. Basil Blackwell, Oxford1950; Philosophical Library, New York 1950; pages i–xii, I–XI, 1–119, and parallel pages vie–xiie, Ie–XIe, 1e–119e.	1951	16	1	67-67	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
J. Sebastião e Silva	Manuel Granell. Lógica. Manuales de la Revista de Occidente, Madrid1949, 478 pp.	1951	16	1	69-70	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Jørgen Jørgensen	Sören Halldén. Några resultat i modal logik (Some results in modal logic). Almquist & Wiksells boktryckeri AB. Dissertation, Uppsala1950, 34 pp.	1951	16	1	70-70	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Jan Kalicki	O. V. Zich. Příspěvek k theorii celých čísel a jednojednoznačného zobrazení (A contribution to the theory of whole numbers and of one-to-one transformations). Rozpravy II, Třídy České Akademie, vol. 58 no. 11 (1948), 12 pp.	1951	16	1	71-72	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	Leon Henkin. Completeness in the theory of types. The journal of symbolic logic, vol. 15 (1950), S. 81–91.	1951	16	1	72-73	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
J. Barkely Rosser	Wilhelm Ackermann. Widerspruchsfreier Aufbau der Logik I. Typenfreies System ohne tertium non datur. The journal of symbolic logic, vol. 15 (1950), pp. 33–57.	1951	16	1	72-72	review	general mathematical logic	review-of-record entry reached			page-verified complete local full text
Frederic B. Fitch	Ruth Barcan Marcus. The elimination of contexlually defined predicates in a modal system. The journal of symbolic logic, vol. 15 (1950), p. 92.	1951	16	1	73-74	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
R. C. Lyndon	Frank Harary. On complete atomic proper relation algebras. The journal of symbolic logic, vol. 15 (1950), pp. 197–198.	1951	16	1	74-74	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Anders Wedberg	Ivo Thomas. The logical square and modes of categorical syllogism. Contemplations presented to The Dominican Tertiaries of Glasgow 1924–1949, Blackfriars, Oxford (1949), offprint 14 pp.	1951	16	1	74-75	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	John R. Myhill. A reduction in the number of primitive ideas of arithmetic. The journal of symbolic logic, vol. 15 (1950), p. 130.	1951	16	1	74-74	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Evert W. Beth. Logical and psychological aspects in the consideration of language. Synthese, vol. 5 (1946–1947), pp. 542–544.	1951	16	1	75-75	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Friedrich Waismann. The many-level-structure of language. Synthese, vol. 5 (1946–1947), pp. 221–229.	1951	16	1	75-75	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
William Marshall	Alonzo Church. On Carnap's analysis of statements of assertion and belief. Analysis (Oxford), vol. 10 no. 5 (1950), pp. 97–99.	1951	16	1	76-77	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Friedrich Waismann. Logische und psychologische Aspekte in der Sprachbetrachtung. Synthese, vol. 6 (1947–1948), pp. 460–475.	1951	16	1	76-76	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Martin Davis	W. V. Quine. On decidability and completeness. Synthese, vol. 7 (1948–1949), pp. 441–446.	1951	16	1	76-76	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Bent Schultzer. Empiricism as a logical problem. Theoria, vol. 15 (1949), pp. 298–314.	1951	16	1	77-78	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	David Rynin. Meaning and formation rules. The journal of philosophy, vol. 46 (1949), pp. 373–386.	1951	16	1	77-77	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Paul Edwards. Do necessary propositions “mean nothing”?The journal of philosophy, vol. 46 (1949), pp. 457–468.	1951	16	1	77-77	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1951	16	1	78-80	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
Alonzo Church	Victor Kraft. Die moderne und die traditionelle Logik. Wissenschaft und Weltbild (Vienna), vol. 3 no. 1 (1950), pp. 28–34.	1951	16	1	78-78	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
	Elections	1951	16	1	80-80	association record	editorial/association apparatus				metadata only; full text not reached
	Institutional contributing subscribers to the Journal	1951	16	1	80-80	association record	editorial/association apparatus				metadata only; full text not reached
	JSL volume 16 issue 2 Cover and Front matter	1951	16	2	f1-f2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Paul Lorenzen	Algebraische und logistische Untersuchungen über freie Verbände	1951	16	2	81-106	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified	technical-depth potentially sufficient		page-verified complete local full text
Andrzej Mostowski	On the rules of proof in the pure functional calculus of the first order	1951	16	2	107-111	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Schiller Joe Scroggs	Extensions of the Lewis system S5	1951	16	2	112-120	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Frederic B. Fitch	A demonstrably consistent mathematics—Part II	1951	16	2	121-124	primary technical publication	proof theory and formal systems		technical-depth potentially sufficient		page-verified complete local full text
Raphael M. Robinson	Arithmetical definability of field elements	1951	16	2	125-126	primary technical publication	model theory and semantics	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Sören Halldén	On the semantic non-completeness of certain Lewis calculi	1951	16	2	127-129	primary technical publication	model theory and semantics	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
John Myhill	Towards a consistent set-theory	1951	16	2	130-136	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified		mechanically obvious target-line exclusion from title/metadata	metadata only; full text not reached
E. W. Beth	Jonathan Cohen. Mr. Strawson's analysis of truth. Analysis (Oxford), vol. 10 no. 6 (1950), pp. 136–140.	1951	16	2	137-138	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Victor Kraft	Rudolf Carnap. Testability and meaning. Neuer Abdruck von II 49(2), S. 419–471, 2–40, nebst Titelblatt, Corrigenda and additions (S. 40A–40C) und Additions to bibliography (S. 40C–40F). Graduate Philosophy Club, Yale University, New Haven, Conn., 1950.	1951	16	2	137-137	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Paul D. Wienpahl. Frege's Sinn und Bedeutung. Mind, n.s. vol. 59 (1950), pp. 483–494.	1951	16	2	138-138	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Peter Thomas Geach. Subject and predicate. Mind, n.s. vol. 59 (1950), pp. 461–482.	1951	16	2	138-138	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Armando Asti Vera. El locus de los entes matemáticos. Episteme (Buenos Aires), no. 3–4 (1948), pp. 112–114.	1951	16	2	139-139	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine; Armando Asti Vera	El Locus de los Entes Matematicos.	1951	16	2	139	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Robert Feys	Ettore Carruccio. Recenti sviluppi della logica matematica nei riflessi sull'insegnamento. Atti del Convegno di Pisa (23–27 settembre 1948). Offprint 1949, 22 pp.	1951	16	2	139-140	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Robert Feys	Giuseppe Vaccarino. Caratteri e funzione della logica. Archimede (Firenze), vol. 1 no. 5 (1949), pp. 149–154.	1951	16	2	139-139	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Juan David García Bacca. Historia esquemática de los conceplos de finito e infinito. Episteme (Buenos Aires), no. 5 (1949), pp. 149–171.	1951	16	2	139-139	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	L. Allende Lezama and C. R. Pérés de Cambiaso. La oratión: Definitión y división. Episteme (Buenos Aires), no. 2 (1948), pp. 38–53. - Armando Asti Vera. Introductión a la epistemologiá. Episteme (Buenos Aires), no. 2 (1948), pp. 53–58. - L. Allende Lezama and Armando Asti Vera. El concepto de implication en la ciencia y en la filosofia. Episteme (Buenos Aires), no. 3–4 (1948), pp. 67–75. See Fe de erratas, ibid., no. 5 (1949), p. 192. - L. Allende Lezama and Armando Asti Vera. The concept of implication in science and philosophy. English translation of the preceding by E. Fressone, E. Williams, and N. Bottino. Episteme (Buenos Aires), no. 3–1, pp. 76–84. - L. Allende Lezama and A. Asti Vera. Introductión al conocimiento. Episteme (Buenos Aires), no. 5, pp. 131–148.	1951	16	2	139-139	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Arthur Pap. Are all necessary propositions analytic?The philosophical review, vol. 58 (1949) pp. 299–320.	1951	16	2	140-140	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Arthur Pap. Logic and the synthetic a priori. English with Spanish abstract. Philosophy and phenomenological research, vol. 10 no. 4 (1950), pp. 500–514.	1951	16	2	140-140	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Robert Feys	Marcel Boll and Jacques Reinhart. La conquête de la vérité. Récti simplifié des derniers progrès de la logique scientifique. Editions du Sablon, Brussels-Paris1947, 288 pp.	1951	16	2	140-140	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. F. Thomson	Wilfrid Sellars. Quotation marks, sentences, and propositions. English with Spanish abstract. Philosophy and phenomenological research, vol. 10 no. 4 (1950), pp. 515–525.	1951	16	2	140-141	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
J. F. Thomson	Arthur Pap. Are individual concepts necessary?Philosophical studies, vol. 1 (1950), pp. 17–24.	1951	16	2	141-142	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
J. F. Thomson	Wilfrid Sellars. The identity of linguistic expressions and the paradox of analysis. Philosophical studies, vol. 1 (1950), pp. 24–31. - Wilfrid Sellars. Gestalt qualities and the paradox of analysis. Philosophical studies, vol. 1 (1950), pp. 92–94.	1951	16	2	141-141	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Hao Wang. Remarks on the comparison of axiom systems. Proceedings of the National Academy of Sciences of the United States of America, vol. 36 (1950), pp. 448–453.	1951	16	2	142-143	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
J. Barkley Rosser	Hao Wang. The non-finitizability of impredicalive principles. Proceedings of the National Academy of Sciences of the United States of America, vol. 36 (1950), pp. 479–484.	1951	16	2	143-144	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
G. D. W. Berry	Hao Wang. Existence of classes and value specification of variables. The journal of symbolic logic, vol. 15 (1950), pp. 103–112.	1951	16	2	144-145	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Th. Skolem	J. Barkley Rosser and Hao Wang. Non-standard models for formal logics. The journal of symbolic logic, vol. 15 (1950), pp. 113–129. See Errata, ibid., p. iv.	1951	16	2	145-146	review	model theory and semantics	review-of-record entry reached			partial local page image; p. 145 reached, p. 146 not reached
Rózsa Péter	Antoni Janiczak. A remark concerning decidability of complete theories. The journal of symbolic logic, vol. 15 (1950), 277–279.	1951	16	2	146-147	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	Gisbert Hasenjaeger. Über eine Art von Unvollständigkeit des Prädikatenkalküls der ersten Stufe. The journal of symbolic logic, vol. 15 (1950), 273–276.	1951	16	2	146-146	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Wilhelm Ackermann	G. H. von Wright. On the idea of logical truth (II). Societas Scientiaru m Fennica, Commentationes physico-mathematicae, Bd. 15, Nr. 10. Kopenhagen und Helsingfors1950, 45 S.	1951	16	2	147-148	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	S. C. Kleene. A symmetric form of Gödel's theorem. Koninklijke Nederlandse Akademie van Wetenschappen, Proceedings of the section of sciences, Bd. 53 (1950), S. 800–802; auch Indagationes mathematicae, Bd. 12 (1950), S. 244–246.	1951	16	2	147-147	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Heinrich Scholz	Hellmuth Kneseh. Notio und notatio. Jahresbericht der Deutschen Mathematiker-Vereinigung, Bd. 53 (1943), Abt. 2, S. 9–21.	1951	16	2	148-148	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Heinrich Scholz	Max E. Eisenking. Johann Heinrich Lambert und die wissenschaftliche Philosophie der Gegenwart. Dissertation Zürich1944, 112 S.	1951	16	2	148-148	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Johannes Bendiek	Henry Veatch. Aristotelian and mathematical logic. The Thomist, Bd. 13 (1950), S. 50–96.	1951	16	2	149-149	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Heinrich Scholz	J. Salamucha. Die Aussagenlogik bei Wilhelm Ockham. Aus dem Polnischen übersetzt von Johannes Bendiek. Franziskanische Studien, Bd. 32 (1950), S. 97–134.	1951	16	2	149-149	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Heinrich Scholz	Johannes Bendiek. Scholastische und malhematische Logik. Franziskanische Studien, Bd. 31 (1949), S. 13–48.	1951	16	2	149-149	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Edward A. Maziarz. The philosophy of mathematics. Philosophical Library, New York1950, viii + 286 pp.	1951	16	2	150-150	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Gottfried Martin. Über ein zweiwertiges Modell einer vierwertigen Logik. Methodos, vol. 1 (1949), pp. 386–389.	1951	16	2	150-150	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Benson Mates	René van den Driessche. Sur le “De syllogismo hypothetico” de Boèce. Methodos, vol. 1 (1949), pp. 293–307.	1951	16	2	150-150	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Frederick B. Thompson	Alan Rose. A lattice-theoretic characterisation of three-valued logic. Journal of the London Mathematical Society, vol. 25 (1950), pp. 255–259. - Alan Rose. Post lattices. Norsk matematisk tidsskrift, vol. 32 (1950), pp. 40–41.	1951	16	2	151-151	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
R. C. Lyndon	Arthur H. Copeland. Implicative Boolean algebra. Mathematische Zeitschrift, vol. 53 (1950), pp. 285–290.	1951	16	2	151-152	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	J. Kalicki. On the structure of bracket-free formulae. Norsk matematisk tidsskrift, vol. 32 (1950), pp. 33–39.	1951	16	2	151-151	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Z. Suetuna	Takeo Sugihaba. Tachi ronrigaku (Many-valued logic). Tetsugaku kenkyû, vol. 33 no. 11 (1950), pp. 684–703 (no. 392, pp. 44–63).	1951	16	2	151-151	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Hao Wang	Alfons Borgers. Development of the notion of set and of the axioms for sets. Synthese, vol. 7 (1948–1949), pp. 374–390.	1951	16	2	152-153	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
R. C. Lyndon	Hermann Wendelin. Untersuchungen zur Mengenalgebra. Journal für die reine und angewandte Mathematik, vol. 188 (1950), pp. 78–99.	1951	16	2	152-152	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
H. E. Vaughan	Tadashi Michiura. On characteristic properties of Boolean algebras. Journal of the Osaka Institute of Science and Technology, Part I, mathematic s and physics, vol. 1 (1949), pp. 129–133.	1951	16	2	152-152	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
I. L. Novak	E. W. Beth. Les fondements logiques des mathématiques. With a preface b y P. Destouches-Février. Collection de logique mathématique, série A. Lithographed. Gauthier-Villars, Paris; E. Nauwelaerts, Louvain; 1950, 222 pp.	1951	16	2	153-154	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Irving M. Copi. The inconsistency or redundancy of Principia mathematica. English with Spanish abstract. Philosophy and phenomenological research, vol. 11 no. 2 (1950), pp. 190–199.	1951	16	2	154-155	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alfons Borgers	Kurt Schütte. Schlussweisen-Kalküle der Prädikatenlogik. Mathematische Annalen, vol. 122 (1950), pp. 47–65.	1951	16	2	155-156	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
A. R. Turquette	Ira Rosenbaum. Introduction to mathematical logic and its applications. Publications in mathematics, no. 2. University of Miami Press, Coral Gables1950, iii + 98 pp.	1951	16	2	156-158	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
