author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
Everett J. Nelson	Francesco Orestano. A propos de mes “Nouvelles vues logiques.” Revue de métaphysique et de morale, vol. 46 (1939), pp. 41–55.	1939	4	2	90-91	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Robert Feys	E. Hüffer. Logistiek (La logistique). Vraagstukken uit de logica. Verslag van de vijfde algemeene vergadering der Vereeniging voor Thomistische Wijsbegeerte (supplément de Studia Calholica ), Dekker & van de Vegt, Nijmegen1938, p. 63–85. Discussion, p. 85–89.	1939	4	2	91-91	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Robert Feys	M. Barzin. Cours de logique. Polycopié. Desoer, Liége1937, deux tomes, 63 + 117 pages.	1939	4	2	91-91	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
M. Wajsberg	Eugen Gh. Mihailescu. Recherches sur les formes normales par rapport à l'équivalence et la disjonction, dans le calcul des propositions. Annales scientifiques de l'Université de Jassy, première partie, t. 25 (1939), p. 73–152.	1939	4	2	91-92	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
H. L. Kaplański	Kazimierz Makarczyk. Technika rachunku logicznego (La technique du calcul logique). Varsovie1938, 35 pages.	1939	4	2	92-92	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Józef Pepis. O zagadnieniu rozstrzygalności w zakresie wȩzszego rachunku funkcyjnego (Über das Entscheidungsproblem des engeren logischen Funktionenkalküls). Polnisch mit deutscher Zusammenfassung. Archiwum Towarzystwa Naukowego we Lwowie, Dział III, Bd. 7 H. 8 (1937), S. 1–172.	1939	4	2	93-93	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	S. C. Kleene. On notation for ordinal numbers. The journal of symbolic logic, Bd. 3 (1938), S. 150–155.	1939	4	2	93-94	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Albert A. Bennett and Charles A. Baylis. Formal logic: a modern introduction. Prentice-Hall, Inc., New York1939, xvii + 407 pp.	1939	4	2	94-96	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Jørgen Jørgensen	Harald Nordenson. Kritische Bemerkungen zu den Grundlagen der Logistik. Adolf Phalén in memonam, Philosophical essays, Uppsala and Stockholm1937, pp. 486–545.	1939	4	2	96-97	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Frederic B. Fitch. The consistency of the ramified Principia. The journal of symbolic logic, vol. 3 (1938), pp. 140–149.	1939	4	2	97-98	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Arnold Schmidt. Über deduktive Theorien mit mehreren Sorten von Grunddingen. Mathematische Annalen, vol. 115 no. 4 (1938), pp. 485–506.	1939	4	2	98-98	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	D. A. Bočvar. Ob odnom tréhznačnom isčislénii i égo priménénii k analizu paradoksov klassičéskogo rasširénnogo funkcional'nogo isčisléniá (On a three-valued logical calculus and its application to the analysis of contradictions). Matématičéskij sbornik (Recveil mathématique), n. s. vol. 4 (1939), pp. 287–308.	1939	4	2	98-99	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
S. C. Kleene	Arnold Reymond. La négation et le principe du tiers exclu. Actes du Congrès International de Philosophie Scientifigue, VI Philosophie des mathématiques, Actualités scientifiques et industrielles 393, Hermann & C ie , Paris1936, pp. 62–68.	1939	4	2	99-100	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Carl G. Hempel. Vagueness and logic. Philosophy of science, vol. 6 (1939), pp. 163–180.	1939	4	2	100-100	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Saunders MacLane	Paul Dienes. Logic of algebra. Actualités scientifiques et industrielles 614, Hermann et C ie , Paris1938, 76 pp.	1939	4	2	100-100	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Irving M. Copilowish. Border-line cases, vagueness, and ambiguity. Philosophy of science, vol. 6 (1939), pp. 181–195.	1939	4	2	101-101	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	V. J. McGill. Concerning the laws of contradiction and excluded middle. Philosophy of science, vol. 6 (1939), pp. 196–211.	1939	4	2	101-101	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Justus Buchler. Peirce's theory of logic. The journal of philosophy, vol. 36 (1939), pp. 197–215.	1939	4	2	102-102	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	M. Cipolla. Nulla e zero. Esercitazioni matematiche, ser. 2 vol. 10 (1937), pp. 1–10.	1939	4	2	102-102	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Paul Lévy. Let paradoxes de la théorie des ensembles infinis. Recherches philosophiques, vol. 6 (1936–1937), pp. 204–219.	1939	4	2	102-102	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Susanne K. Langer	Robert Feys. Fondements et méthodes des mathématiques. Notes sur la réunion d'études de Zurich. Revue néoscolastique de philosophie, vol. 42 (1939), pp. 78–88.	1939	4	2	102-102	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Claude E. Shannon. A symbolic analysis of relay and switching circuits. Transactions of the American Institute of Electrical Engineers, vol. 57 (1938), pp. 713–723.	1939	4	2	103-103	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Oskar Morgenstern. Logistik und Sozialwissenschaften. Zeitschrift für Nationalökonomie (Vienna), vol. 7 (1936), pp. 1–24.	1939	4	2	103-103	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. D. Duthie	S. Pankajam. On finite Boolean algebra. The mathematics student (Madras), vol. 6 (1938) pp. 105–119.	1939	4	2	103-103	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1939	4	2	103-104	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 4 issue 2 Cover and Back matter	1939	4	2	b1-b2	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 4 issue 3 Cover and Front matter	1939	4	3	f1-f4	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1939	4	3	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
Alfred Tarski	On undecidable statements in enlarged systems of logic and the concept of truth	1939	4	3	105-112	primary technical publication	model theory and semantics	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Andrzej Mostowski	Bemerkungen zum Begriff der inhaltlichen Widerspruchsfreiheit	1939	4	3	113-114	primary technical publication	proof theory and formal systems				metadata only; full text not reached
Frederic B. Fitch	Note on modal functions	1939	4	3	115-116	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
M. Kokoszyńska	Rudolf Carnap. Foundations of logic and mathematics. International encyclopedia of unified science, vol. 1, no. 3. The University of Chicago Press, Chicago1939, viii + 71 pp.	1939	4	3	117-118	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. J. Ducasse	Leonard Bloomfield. Linguistic aspects of science. International encyclopedia of unified science, vol. 1, no. 4. The University of Chicago Press, Chicago1939, viii + 59 pp.	1939	4	3	118-119	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Ernest Nagel. Principles of the theory of probability. International encyclopedia of unified science, vol. 1, no. 6. The University of Chicago Press, Chicago1939, vii + 80 pp.	1939	4	3	119-120	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	H. P. Evans and S. C. Kleene. A postulational basis for probability. The American mathematical monthly, vol. 46 (1939), pp. 141–148.	1939	4	3	120-121	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Józefa Mehlberg	Jan Herzberg. Sur la notion de collectif. Annates de la Société Polonaise de Mathématique, t. 17 (1939), p. 231–244.	1939	4	3	121-121	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	James Wilkinson Miller. The structure of Aristotelian logic. Kegan Paul, Trench, Trubner & Co., London1938, 97 pp.	1939	4	3	121-122	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	R. L. Goodstein. Mathematical systems. Mind, n.s. vol. 48 (1939), pp. 58–73.	1939	4	3	122-123	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Lucius Garvin. Do we ever think in propositions?Analysis, vol. 6 no. 2 (1939), pp. 25–32.	1939	4	3	123-124	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Saunders MacLane; S. Pankajam	On Symmetric Functions of m Symmetric Functions in a Boolean Algebra.	1939	4	3	124	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	P. G. J. Vredenduin. A system of strict implication. The journal of symbolic logic, vol. 4 (1939), pp. 73–76.	1939	4	3	124-124	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Saunders Mac Lane	S. Pankajam. On symmetric functions of m symmetric functions in a Boolean algebra. Proceedings of the Indian Academy of Sciences, section A, vol. 9 (1939), pp. 95–102.	1939	4	3	124-124	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Henry Wallman	Andrzej Mostowski and Alfred Tarski. Boolesche Ringe mit geordneter Basis. Fundamenta mathematicae, vol. 32 (1939), pp. 69–86.	1939	4	3	124-125	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Evert Beth. De paradoxen (The paradoxes). Algemeen Nederlands tijdschrift voor wijsbegeerte en psychologie, vol. 32 (1938–1939), pp. 193–208.	1939	4	3	125-125	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	Evert Beth. Getalbegrip en tijdsaanschouwing (Number concept and time intuition). Euclides, vol. 15 (1939), pp. 190–215.	1939	4	3	125-125	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	H. Scholz. Natürliche Sprachen und Kunstsprachen. Semesler-Berichte (Münster i.W.), 11. Semester, Winter 1937–1938, pp. 48–85.	1939	4	3	125-125	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	H. Scholz. Was ist eine formalisierte Theorie?Semesler-Berichte (Münster i.W.), 13. Semester, Winter 1938–1939, pp. 13–53.	1939	4	3	125-125	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	Jean-Louis Destouches. Sur l'unité de la physique théorique. Bulletin scientifique de l'École Polytéchnique de Timişoara, vol. 8 (1938–1939), pp. 49–71.	1939	4	3	125-125	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Saunders Mac Lane. Symbolic logic. The American mathematical monthly, vol. 46 (1939), pp. 289–296.	1939	4	3	125-126	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
DeWitt H. Parker	Alessandro Padoa. Come si deduce. Periodico di matematiche, ser. 4 vol. 18 (1938), pp. 228–236.	1939	4	3	126-126	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Saunders Mac Lane	John C. Cooley. Outline of symbolic logic. Harvard Cooperative Society, Cambridge, Mass., 1938.	1939	4	3	126-126	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	M. H. A. Newman. The calculus of sets. Elements of the topology of plane sets of points, by M. H. A. Newman, Cambridge University Press1939, pp. 3–12.	1939	4	3	126-126	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	R. Vaidyanathaswami. Inaugural address. The mathematics student, vol. 6 (1938), pp. 33–42.	1939	4	3	126-126	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	W. V. Quine. Relations and reason. Technology review, vol. 41 (1939), pp. 299–301, 324–327.	1939	4	3	126-126	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
H. P. Robertson	Karl Schnell. Eine Topologie der Zeit in logistischer Darstellung. Dissertation Münster i.W. 1937. Lithographed. Max Kramer, Münster i.W. 1938, 99 + iv pp.	1939	4	3	126-127	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Th. Skolem	László Kalmár. On the reduction of the decision problem. First paper. Ackermann prefix, a single binary predicate. The journal of symbolic logic, Bd. 4 (1939), S. 1–9.	1939	4	3	127-128	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	H. B. Curry. A note on the reduction of Gentzen's calculus LJ. Bulletin of the American Mathematical Society, Bd. 45 (1939), S. 288–293.	1939	4	3	128-128	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	A. M. Turing. Systems of logic based on ordinals. Proceedings of the London Mathematical Society, 2. Folge, Bd. 45, Heft 3 (1939), S. 161–228.	1939	4	3	128-129	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Albert A. Bennett	Andrzej Mostowski. Über die Unabhängigkeit des Wohlordnungssalzes vom Ordnungsprinzip. Fundamenta mathematicae, vol. 32 (1939), pp. 201–252.	1939	4	3	129-130	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
S. C. Kleene	A. G. D. Watson. Mathematics and its foundations. Mind, n.s. vol. 47 (1938), pp. 440–451.	1939	4	3	130-131	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	J. D. Mabbott. Two notes on syllogism. Mind, n.s. vol. 48 (1939), pp. 326–337.	1939	4	3	131-132	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	F. Graf Hoensbroech. On Russell's paradox. Mind, n.s. vol. 48 (1939), pp. 355–358.	1939	4	3	132-132	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Karl Britton. Communication: a philosophical study of language. Kegan Paul, Trench, Trubner & Co., London1939; Harcourt, Brace & Co., New York 1939; 290 pp.	1939	4	3	132-133	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Saunders Mac Lane	Benedykt Bornstein. Geometrical logic. The structures of thought and space. Bibliotheca Universitatis Liberae Polonae, ser. B, no. 8 (31). Wolna Wszechnica Polska, Warsaw1939, 114 pp.	1939	4	3	133-134	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Paul Henle	Gr. C. Moisil. Sur un calcul des théorèmes. Comptes rendus des séances de l'Académie des Sciences de Roumanie, vol. 2 (1937–1938), pp. 221–227.	1939	4	3	134-134	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Saunders Mac Lane	H. M. MacNeille. Extension of a distributive lattice to a Boolean ring. Bulletin of the American Mathematical Society, vol. 45 (1939), pp. 452–455.	1939	4	3	134-134	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Paul Henle	K. Reach. The name relation and the logical antinomies. The journal of symbolic logic, vol. 3 (1938), pp. 97–111.	1939	4	3	134-134	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
K. Reach; Fridrich Zavarsky	Aristotelian and Theoretical Logic.	1939	4	3	135	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Paul Henle	Alfred Tarski. Einige Bemerkungen zur Axiomatik der Boole'schen Algebra. Comptes rendus des séances de la Société des Sciences et des Lettres de Varsovie, Classe III, vol. 31 (1938), pp. 33–35.	1939	4	3	135-135	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
K. Reach	Fridrich Zavarský . Aristotelská a teoretická logika(Aristotelian and theoretical logic). Slovakian. Filosofická revue, vol. 9 (1937), pp. 60-65.	1939	4	3	135-135	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1939	4	3	135-136	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 4 issue 3 Cover and Back matter	1939	4	3	b1-b1	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 4 issue 4 Cover and Front matter	1939	4	4	f1-f4	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1939	4	4	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
William Tuthill Parry	Modalities in the Survey system of strict implication	1939	4	4	137-154	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
J. C. C. McKinsey	Proof of the independence of the primitive symbols of Heyting's calculus of propositions	1939	4	4	155-158	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Frederic B. Fitch	The hypothesis that infinite classes are similar	1939	4	4	159-162	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Alonzo Church	Abraham Adolf Fraenkel. Diskrete und kontinuierliche Gebilde. Zeitschrift für freie deutsche Forschung (Paris), vol. 2 (1939), pp. 1–14.	1939	4	4	163-163	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	J. Dieudonné. Let méthodes axiomatiques modernes et les fondements des mathématiques. Revue scientifique (Paris), vol. 77 (1939), pp. 224–232.	1939	4	4	163-163	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Evert Beth	A. Fraenkel et J. Bar-Hillel. Le problème des antinomies et ses développements récents. Traduit par A. Lautmann. Revue de métaphysique et de morale, t. 46 (1939), p. 225–242.	1939	4	4	163-164	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Evert Beth	C. H. van Os. De crisis der logica (The crisis of logic). Synthese (Laren-Gooi), vol. 3 (1938), pp. 314–336.	1939	4	4	164-164	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Henry S. Leonard	J. R. Kantor. The róle of language in logic and science. The journal of philosophy, vol. 35 (1938), pp. 449–463.	1939	4	4	164-165	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	Abraham Robinsohn. On the independence of the axioms of definiteness (Axiome der Bestimmtheit). The journal of symbolic logic, vol. 4 (1939), pp. 69–72.	1939	4	4	165-165	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Evert Beth	Berkley Rosser. An informal exposition of proofs of Gödel's theorems and Church's theorem. The journal of symbolic logic, vol. 4 (1939), pp. 53–60. See errata, Berkley Rosser. An informal exposition of proofs of Gödel's theorems and Church's theorem. The journal of symbolic logic , vol. 4 (1939), p. iv.	1939	4	4	165-165	review	computability, recursion, and decidability	review-of-record entry reached			metadata only; full text not reached
K. Reach	O. V. Zich. Výrokový počet s komplexními hodnotami (Sentential calculus with complex values). Česká mysl, vol. 34 (1938), pp. 189–196.	1939	4	4	165-166	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Uuno Saabnio	Eino Kaila. Vähäsen logistiikasta (Einiges über die Logistik). Ajatus, Filosofisen Yhdistyksen vuosikirja, Bd. 9 (1938), S. 17–29.	1939	4	4	166-166	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
K. Reach	Jan Sýkora. Pojem potence v matematice (The concept of power in mathematics). Filosofická revue, vol. 10 (1938), pp. 19–23.	1939	4	4	166-166	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Paulette Février. Sur la causalité. Revue générale des sciences pures et appliqées, vol. 50 (1939), pp. 321–326.	1939	4	4	166-167	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Gr. C. Moisil. Recherches sur le syllogisme. Annales scientifiques de l'Université de Jassy, vol. 25 (1939), pp. 341–384.	1939	4	4	167-167	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Gr. C. Moisil. Sur la structure algébrique du calcul des propositions. Bulletin mathématique de la Société Roumaine des Sciences, vol. 40 (1938), pp. 229–234.	1939	4	4	167-167	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Gr. C. Moisil. Sur la théorie classique de la modalité des jugements. Bulletin mathématique de la Société Roumaine des Sciences, vol. 40 (1938), pp. 235–240.	1939	4	4	167-168	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Eugen G. Mihailescu. Sur le calcul des propositions. Bulletin mathématique de la Société Roumaine des Sciences, vol. 40 (1938), pp. 241–244.	1939	4	4	168-168	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Hugo Bergmann. Maimons logischer Kalkül. Philosophia, vol. 3 (1938), pp. 252–265.	1939	4	4	168-168	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	K. Reach. What is a language?Analysis, vol. 6 no. 4 (1939), pp. 49–62.	1939	4	4	168-168	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Rudolf Metz. Mathematical logic. A hundred years of British philosophy, by Rudolf Metz, New York and London1938, pp. 705–726. Translation of IV 136 (19).	1939	4	4	168-168	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Janina Lindenbaum-Hosiasson. On confirmation. Ditto, 5 pp.	1939	4	4	169-169	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
C. J. Ducasse	K. Reach. Some basic features of a universal language. Preprinted for the members of the Fifth International Congress for the Unity of Science, Cambridge, Mass., 1939, 7 pp. Distributed to members of the Congress but not read.	1939	4	4	169-169	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Kurt Grelling. A logical theory of dependence. Ditto, 9 pp.	1939	4	4	169-169	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Kurt Grelling and Paul Oppenheim. Logical analysis of “Gestalt” as “functional whole.”Ditto, 7 pp.	1939	4	4	169-170	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Barkley Rosser. The introduction of quantification into a three-valued logic. Ditto, 6 pp.	1939	4	4	170-170	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	W. V. Quine. A logistical approach to the ontological problem. Preprinted for the members of the Fifth International Congress for the Unity of Science, Cambridge, Mass., 1939, as from The journal of unified science (Erkenntnis), vol. 9; 6 pp.	1939	4	4	170-170	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Anders Wedberg	J. Kraft. Logische oder metaphysische Interpretation der Logistik?, Ditto, 5 pp.	1939	4	4	170-171	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	A. C. Benjamin. Some realistic implications of operationalism. Ditto, 4 pp. - Donald C. Williams. Designation and empirical certainty. Ditto, 5 pp. - Ernest Nagel. Charles S. Peirce, pioneer of modern empiricism. Ditto, 3 pp. - Friedrich Waismann. Zu: Ist die Logik eine deduktive Wissenschaft?Erkenntnis, vol. 7 no. 5/6 (1939), pp. 374–375.	1939	4	4	171-171	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Anders Wedberg	Felix Kaufmann. Truth and logic. Ditto, 6 pp.	1939	4	4	171-171	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Anders Wedberg	Rudolf Carnap. Science and analysis of language. Ditto, 6 pp.	1939	4	4	171-171	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1939	4	4	172-175	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
Nelson Goodman	Fifth meeting of the Association for Symbolic Logic	1939	4	4	176-177	meeting report	editorial/association apparatus				metadata only; full text not reached
	Institutional contributing subscribers to the Journal of Symbolic Logic	1939	4	4	178-178	association record	editorial/association apparatus				metadata only; full text not reached
	List of officers and members of the Association for Symbolic Logic	1939	4	4	179-183	association record	editorial/association apparatus				metadata only; full text not reached
	Index of reviews	1939	4	4	184-194	review index	editorial/association apparatus				metadata only; full text not reached
	JSL volume 4 issue 4 Cover and Back matter	1939	4	4	b1-b1	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 5 issue 1 Cover and Front matter	1940	5	1	f1-f4	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	Errata	1940	5	1	iv-iv	errata	editorial/association apparatus				metadata only; full text not reached
Leopold Löwenheim	Einkleidung der Mathematik in Schröderschen Relativkalkul	1940	5	1	1-15	primary technical publication	unclassified from title metadata				metadata only; full text not reached
S. C. Kleene	D. Hilbert and P. Bernays. Grundlagen der Mathematik. Vol. 2, Julius Springer, Berlin1939, xii + 498 pp.	1940	5	1	16-20	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Albert Lautman. Essai sur les notions de structure et d'existence en mathématiques. Actualités scientifiques et industrielles 590–591. Hermann & C ie , Paris1938, 159 pp.	1940	5	1	20-22	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Albert Lautman. Essai sur l'unité des sciences mathématiques dans leur développement actuel. Actualités scientifiques et industrielles 589. Hermann & C ie , Paris1938, 59 pp.	1940	5	1	22-22	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Saunders MacLane	J.-L. Destouches. Essai sur la forme générale des théories physiques. Institutul de Arte Grafice “Ardealul,”Cluj, Roumania, 1938, 131 pp.	1940	5	1	23-23	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Max Bense. Geist der Mathematik. Abschnitte aus der Philosophie der Arithmetik und Geometrie. R. Oldenbourg, Munich and Berlin1939, 173 pp.	1940	5	1	23-23	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert Wohlstetter	J. H. Woodger. The technique of theory construction. International encyclopedia of unified science, vol. 2, no. 5. The University of Chicago Press, Chicago1939, vii + 81 pp.	1940	5	1	23-24	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert Wohlstetter	Maria Kokoszyńska. Bemerkungen über die Einheitswissenschaft. Erkenntnis, vol. 7 no. 5/6 (1939), pp. 325–335. - Otto Neurath. Zu den Vorträgen von Black, Kokoszyńska, Williams. Erkenntnis, pp. 371–374. - Arne Ness. Zum Vortrag von Kokoazyńska über Einheitswissenschaft. Erkenntnis, pp. 382–384.	1940	5	1	24-25	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey; H. B. Curry	Remarks on the Definition and Nature of Mathematics.	1940	5	1	26	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	H. B. Curry. Remarks on the definition and nature of mathematics. Ditto, 6 pp.	1940	5	1	26-26	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Louis Rougier. Les nouvelles logiques de la mécanique quantique el l'empirisme radical. Preprinted for the members of the Fifth International Congress for the Unity of Science, Cambridge, Mass., 1939, as from The Journal of Unified Science , vol. 9; 8 pp.	1940	5	1	26-26	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Albert Wohlstetter	Paul Hertz. Sprache und Logik. Erkenntnis, vol. 7 no. 5/6 (1939), pp. 309–324.	1940	5	1	26-26	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
C. H. Langford	Bertrand Russell. On verification. Proceedings of the Aristotelian Society, vol. 38 (1937–1938), pp. 1–20.	1940	5	1	27-27	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
